fid2,ID_LINE,ID_POINT,DISTANCE,OVERLAND,X,Y,Z
4957,22,4957,15.080535103,15.148494796,143163.02822,2660389.2146,-44.700000763
4958,22,4958,15.619125643,15.689401158,143163.22842,2660388.7146,-44.75
4959,22,4959,16.157716182,16.230307521,143163.42862,2660388.2146,-44.799999237
4960,22,4960,16.696306722,16.768990856,143163.62881,2660387.7146,-44.809997559
4961,22,4961,17.234897261,17.309064779,143163.82901,2660387.2146,-44.849998474
4962,22,4962,17.773487801,17.849138702,143164.02921,2660386.7146,-44.88999939
4963,22,4963,18.31207834,18.388564041,143164.22941,2660386.2146,-44.919998169
4964,22,4964,18.850668879,18.927525809,143164.42961,2660385.7146,-44.939998627
4965,22,4965,19.389259419,19.466951147,143164.62981,2660385.2146,-44.969997406
4966,22,4966,19.927849958,20.006376698,143164.83001,2660384.7146,-45
4967,22,4967,20.466440498,20.545802037,143165.03021,2660384.2146,-45.029998779
4968,22,4968,21.005031037,21.085227375,143165.23041,2660383.7146,-45.059997559
4969,22,4969,21.543621576,21.624189143,143165.43061,2660383.2146,-45.079998016
4970,22,4970,22.082212116,22.162872478,143165.63081,2660382.7146,-45.069999695
4971,22,4971,22.620802655,22.727656015,143165.83101,2660382.2146,-44.899997711
4972,22,4972,23.159393195,23.266246555,143166.03121,2660381.7146,-44.899997711
4973,22,4973,23.697983734,23.804929961,143166.23141,2660381.2146,-44.909999847
4974,22,4974,24.236574273,24.343891729,143166.43161,2660380.7146,-44.930000305
4975,22,4975,24.775164813,24.882853497,143166.6318,2660380.2146,-44.950000763
4976,22,4976,25.313755352,25.422278835,143166.832,2660379.7146,-44.979999542
4977,22,4977,25.852345892,25.961704174,143167.0322,2660379.2146,-45.009998322
4978,22,4978,26.390936431,26.502610536,143167.2324,2660378.7146,-45.059997559
4979,22,4979,26.929526971,27.043517251,143167.4326,2660378.2146,-45.11000061
4980,22,4980,27.46811751,27.583590892,143167.6328,2660377.7146,-45.149997711
4981,22,4981,28.006708049,28.122274298,143167.833,2660377.2146,-45.159999847
4982,22,4982,28.545298589,28.661236066,143168.0332,2660376.7146,-45.180000305
4983,22,4983,29.083889128,29.203158509,143168.2334,2660376.2146,-45.119998932
4984,22,4984,29.622479668,29.752867435,143168.4336,2660375.7146,-45.009998322
4985,22,4985,30.161070207,30.291550841,143168.6338,2660375.2146,-45.020000458
4986,22,4986,30.699660746,30.831624764,143168.834,2660374.7146,-44.979999542
4987,22,4987,31.238251286,31.370215303,143169.0342,2660374.2146,-44.979999542
4988,22,4988,31.776841825,31.909640642,143169.2344,2660373.7146,-45.009998322
4989,22,4989,32.315432365,32.448323977,143169.4346,2660373.2146,-45
4990,22,4990,32.854022904,32.986914516,143169.63479,2660372.7146,-45
4991,22,4991,33.392613443,33.525597852,143169.83499,2660372.2146,-45.009998322
4992,22,4992,33.931203983,34.064281187,143170.03519,2660371.7146,-45
4993,22,4993,34.469794522,34.603242955,143170.23539,2660371.2146,-45.020000458
4994,22,4994,35.008385062,35.14192629,143170.43559,2660370.7146,-45.029998779
4995,22,4995,35.546975601,35.680609625,143170.63579,2660370.2146,-45.020000458
4996,22,4996,36.085566141,36.21929296,143170.83599,2660369.7146,-45.029998779
4997,22,4997,36.62415668,36.758254728,143171.03619,2660369.2146,-45.009998322
4998,22,4998,37.162747219,37.296938064,143171.23639,2660368.7146,-45
4999,22,4999,37.701337759,37.835899832,143171.43659,2660368.2146,-44.979999542
5000,22,5000,38.239928298,38.38195825,143171.63679,2660367.7146,-44.88999939
5001,22,5001,38.778518838,38.922864613,143171.83699,2660367.2146,-44.840000153
5002,22,5002,39.317109377,39.461548019,143172.03719,2660366.7146,-44.829998016
5003,22,5003,39.855699916,40.000138558,143172.23739,2660366.2146,-44.829998016
5004,22,5004,40.394290456,40.539100326,143172.43758,2660365.7146,-44.849998474
5005,22,5005,40.932880995,41.078062094,143172.63778,2660365.2146,-44.869998932
5006,22,5006,41.471471535,41.616745429,143172.83798,2660364.7146,-44.879997253
5007,22,5007,42.010062074,42.157652144,143173.03818,2660364.2146,-44.930000305
5008,22,5008,42.548652613,42.696242684,143173.23838,2660363.7146,-44.930000305
5009,22,5009,43.087243153,43.237149399,143173.43858,2660363.2146,-44.879997253
5010,22,5010,43.625833692,43.776111167,143173.63878,2660362.7146,-44.899997711
5011,22,5011,44.164424232,44.315072935,143173.83898,2660362.2146,-44.879997253
5012,22,5012,44.703014771,44.854498486,143174.03918,2660361.7146,-44.909999847
5013,22,5013,45.24160531,45.393181821,143174.23938,2660361.2146,-44.919998169
5014,22,5014,45.78019585,45.932607372,143174.43958,2660360.7146,-44.950000763
5015,22,5015,46.318786389,46.477106639,143174.63978,2660360.2146,-45.029998779
